EmployeeID,Team,Role,Location,CourseTitle,CourseCategory,IsMandatory,EnrollmentDate,CompletionDate,CompletionStatus,Score,DurationMinutes,LastAccessDate,AccessedViaDevice,SkillScore_Communication,SkillScore_TechEfficiency,SkillScore_Teamwork,SkillGapFlag,FeedbackComment,FeedbackRating,UsedScreenReader,Course Completion Time,Average Skill Score,Completion Month
E14791,Repairs,Plumber,Trafford Branch,Fire Safety,Compliance,Yes,23-Jul-19,28-Jul-19,Completed,61,107,3-Nov-19,Desktop,5,1,5,Yes,Excellent content.,5,No,5,1,July
E17934,Customer Support,Contact Centre Agent,Wythenshawe Central,Customer Service Skills,Soft Skills,Yes,30-Jan-24,4-Feb-24,Completed,96,71,22-Apr-24,Mobile,4,1,2,Yes,Needs improvement.,1,No,5,3,February
E12201,IT,IT Support Officer,Trafford Branch,Data Protection,Systems Training,Yes,11-Dec-21,24-Dec-21,Completed,63,76,22-Jan-22,Mobile,5,1,5,Yes,Excellent content.,5,No,13,1,December
E14185,Repairs,Maintenance Technician,Trafford Branch,Manual Handling,Compliance,Yes,19-Aug-22,6-Sep-22,Completed,64,58,21-Oct-22,Tablet,5,1,4,Yes,Great course.,4,No,18,2,September
E18651,Repairs,Plumber,Wythenshawe Central,Fire Safety,Compliance,Yes,13-Apr-21,17-Apr-21,Completed,84,65,21-Jul-21,Mobile,1,1,4,Yes,Very useful.,4,No,4,-2,April
E16040,Housing Management,Housing Officer,Northfield Office,Conflict Resolution,Soft Skills,Yes,5-May-21,16-May-21,Completed,77,114,3-Jun-21,Mobile,5,1,3,Yes,Very useful.,4,No,11,3,May
E15115,Customer Support,Customer Service Advisor,Trafford Branch,Customer Service Skills,Soft Skills,Yes,18-May-21,26-May-21,Completed,87,92,7-Jun-21,Tablet,2,1,2,Yes,Too basic.,2,No,8,1,May
E12191,Repairs,Plumber,Northfield Office,Electrical Safety,Health & Safety,Yes,26-Apr-21,4-May-21,Completed,99,78,1-Aug-21,Desktop,1,1,1,Yes,Great course.,4,No,8,1,May
E13487,Housing Management,Tenancy Support Officer,Northfield Office,Conflict Resolution,Soft Skills,Yes,10-Apr-21,16-Oct-21,Completed,90,30,4-Nov-21,Mobile,5,1,3,Yes,Great course.,4,No,189,3,October
E17919,Customer Support,Support Specialist,Wythenshawe Central,Handling Difficult Conversations,Soft Skills,Yes,16-Jan-23,26-Jan-23,Completed,100,30,28-Mar-23,Mobile,5,1,1,Yes,Great course.,4,No,10,5,January
E16214,Finance,Accounts Officer,Wythenshawe Central,Financial Regulations,Finance,Yes,7-Sep-21,7-Dec-21,Completed,64,39,6-Jan-22,Desktop,3,1,4,Yes,Needs improvement.,1,No,91,0,December
E12629,Facilities,Cleaner,Trafford Branch,Building Maintenance,Health & Safety,Yes,4-Jul-19,13-Jul-19,Completed,85,53,25-Jul-19,Desktop,2,1,1,Yes,Too basic.,2,No,9,2,July
E17590,IT,Systems Analyst,Trafford Branch,Cybersecurity Essentials,Systems Training,Yes,17-Nov-23,2-Dec-23,Completed,60,46,23-Feb-24,Tablet,2,1,2,Yes,Excellent content.,5,No,15,1,December
E14213,IT,Systems Analyst,Northfield Office,Cybersecurity Essentials,Systems Training,Yes,10-Nov-22,20-Nov-22,Completed,61,94,22-Feb-23,Tablet,1,1,3,Yes,Excellent content.,5,No,10,-1,November
E19016,Repairs,Plumber,Wythenshawe Central,Manual Handling,Compliance,Yes,3-Oct-18,16-Oct-18,Completed,80,85,12-Nov-18,Desktop,2,1,3,Yes,Very useful.,4,No,13,0,October
E11860,Repairs,Electrician,Trafford Branch,Fire Safety,Compliance,Yes,28-Dec-24,4-Jan-25,Completed,94,95,18-Mar-25,Mobile,5,1,1,Yes,Too basic.,2,No,7,5,January
E14595,Repairs,Maintenance Technician,Trafford Branch,Electrical Safety,Health & Safety,Yes,17-Jul-18,19-Jul-18,Completed,70,120,20-Jul-18,Tablet,4,1,4,Yes,Needs improvement.,1,No,2,1,July
E18925,Housing Management,Lettings Coordinator,Trafford Branch,Tenant Rights & Responsibilities,Organizational Onboarding,Yes,9-Apr-19,16-Apr-19,Completed,79,47,3-Jul-19,Tablet,1,1,1,Yes,Excellent content.,5,No,7,1,April
E19480,Facilities,Building Services Assistant,Civic Centre Hub,Health & Safety Basics,Health & Safety,Yes,22-Jul-19,30-Jul-19,Completed,79,111,17-Aug-19,Desktop,3,1,5,Yes,Very useful.,4,No,8,-1,July
E14064,Customer Support,Contact Centre Agent,Wythenshawe Central,Customer Service Skills,Soft Skills,Yes,5-Apr-23,21-May-23,Completed,80,111,29-May-23,Tablet,1,1,5,Yes,Very useful.,4,No,46,-3,May
E19740,Facilities,Building Services Assistant,Civic Centre Hub,Building Maintenance,Health & Safety,Yes,23-Mar-24,7-Apr-24,Completed,76,103,3-Jun-24,Tablet,5,1,3,Yes,Excellent content.,5,No,15,3,April
E13458,Customer Support,Support Specialist,Trafford Branch,Handling Difficult Conversations,Soft Skills,Yes,12-Oct-19,16-Oct-19,Completed,85,33,17-Oct-19,Desktop,3,1,4,Yes,Needs improvement.,1,No,4,0,October
E18934,Facilities,Cleaner,Trafford Branch,Cleaning Protocols,Health & Safety,Yes,21-Nov-22,2-Dec-22,Completed,84,94,19-Dec-22,Desktop,3,1,5,Yes,Excellent content.,5,No,11,-1,December
E15886,IT,Network Technician,Northfield Office,Data Protection,Systems Training,Yes,9-Jul-18,13-Jul-18,Completed,60,117,28-Jul-18,Mobile,4,1,2,Yes,Great course.,4,No,4,3,July
E17090,IT,Systems Analyst,Trafford Branch,System Troubleshooting,Systems Training,Yes,23-Oct-23,5-Nov-23,Completed,90,35,26-Nov-23,Tablet,3,1,4,Yes,Needs improvement.,1,No,13,0,November
E14379,Housing Management,Tenancy Support Officer,Wythenshawe Central,Safeguarding Adults,Compliance,Yes,30-Apr-20,18-May-20,Completed,62,45,20-May-20,Mobile,5,1,1,Yes,Great course.,4,No,18,5,May
E17465,IT,Systems Analyst,Trafford Branch,Data Protection,Systems Training,Yes,15-Nov-20,26-Nov-20,Completed,90,109,22-Feb-21,Mobile,4,1,5,Yes,Excellent content.,5,No,11,0,November
E16195,Housing Management,Lettings Coordinator,Wythenshawe Central,Safeguarding Adults,Compliance,Yes,31-May-18,6-Jun-18,Completed,78,114,13-Jun-18,Tablet,4,1,3,Yes,Too basic.,2,No,6,2,June
E18025,Housing Management,Housing Officer,Trafford Branch,Conflict Resolution,Soft Skills,Yes,27-Jun-24,5-Jul-24,Completed,89,40,18-Sep-24,Desktop,3,1,3,Yes,Too basic.,2,No,8,1,July
E11577,Repairs,Maintenance Technician,Trafford Branch,Electrical Safety,Health & Safety,Yes,26-Oct-24,30-Oct-24,Completed,70,84,3-Dec-24,Mobile,2,1,2,Yes,Too basic.,2,No,4,1,October
E11324,Facilities,Cleaner,Northfield Office,Health & Safety Basics,Health & Safety,Yes,31-Oct-21,17-Nov-21,Completed,65,103,9-Feb-22,Mobile,5,1,3,Yes,Very useful.,4,No,17,3,November
E19168,Facilities,Building Services Assistant,Trafford Branch,Cleaning Protocols,Health & Safety,Yes,2-Jun-19,19-Jun-19,Completed,85,118,21-Sep-19,Tablet,5,1,1,Yes,Excellent content.,5,No,17,5,June
E12732,Finance,Accounts Officer,Wythenshawe Central,Financial Regulations,Finance,Yes,14-May-22,17-May-22,Completed,99,73,25-Aug-22,Desktop,1,1,1,Yes,Great course.,4,No,3,1,May
E17598,Finance,Accounts Officer,Civic Centre Hub,Financial Regulations,Finance,Yes,18-Jan-22,30-Jan-22,Completed,100,96,10-May-22,Mobile,2,1,1,Yes,Needs improvement.,1,No,12,2,January
E16646,Finance,Finance Analyst,Trafford Branch,GDPR Basics,Compliance,Yes,3-Jul-19,11-Jul-19,Completed,76,37,14-Oct-19,Mobile,1,1,5,Yes,Very useful.,4,No,8,-3,July
E12742,Customer Support,Support Specialist,Trafford Branch,Customer Service Skills,Soft Skills,Yes,14-Jul-20,28-Jul-20,Completed,62,49,10-Aug-20,Desktop,2,1,2,Yes,Needs improvement.,1,No,14,1,July
E15829,Facilities,Facilities Manager,Wythenshawe Central,Health & Safety Basics,Health & Safety,Yes,1-Feb-22,13-Feb-22,Completed,77,108,7-Apr-22,Mobile,4,1,5,Yes,Excellent content.,5,No,12,0,February
E11577,Repairs,Maintenance Technician,Trafford Branch,Electrical Safety,Health & Safety,Yes,7-Jun-24,18-Jul-24,Completed,90,65,1-Oct-24,Tablet,1,1,3,Yes,Excellent content.,5,No,41,-1,July
E14919,Housing Management,Tenancy Support Officer,Northfield Office,Conflict Resolution,Soft Skills,Yes,20-Dec-19,23-Dec-19,Completed,83,32,7-Jan-20,Tablet,1,1,2,Yes,Too basic.,2,No,3,0,December
E13132,Repairs,Electrician,Trafford Branch,Electrical Safety,Health & Safety,Yes,10-May-20,14-Oct-20,Completed,87,41,16-Jan-21,Desktop,2,1,4,Yes,Very useful.,4,No,157,-1,October
E13752,Finance,Payroll Specialist,Wythenshawe Central,GDPR Basics,Compliance,Yes,26-Jul-21,4-Aug-21,Completed,94,63,7-Oct-21,Tablet,3,1,5,Yes,Too basic.,2,No,9,-1,August
E16256,Facilities,Cleaner,Civic Centre Hub,Cleaning Protocols,Health & Safety,Yes,20-Jun-21,27-Jun-21,Completed,69,69,9-Aug-21,Mobile,2,1,4,Yes,Great course.,4,No,7,-1,June
E11199,Repairs,Electrician,Northfield Office,Fire Safety,Compliance,Yes,30-Aug-20,9-Nov-20,Completed,86,118,17-Nov-20,Desktop,3,1,2,Yes,Needs improvement.,1,No,71,2,November
E13009,Customer Support,Support Specialist,Northfield Office,Handling Difficult Conversations,Soft Skills,Yes,3-Jun-21,3-Sep-21,Completed,83,51,25-Nov-21,Desktop,1,1,3,Yes,Needs improvement.,1,No,92,-1,September
E11419,IT,Systems Analyst,Civic Centre Hub,Data Protection,Systems Training,Yes,17-Jun-18,29-Jun-18,Completed,68,59,28-Jul-18,Tablet,5,1,5,Yes,Needs improvement.,1,No,12,1,June
E16145,Customer Support,Contact Centre Agent,Northfield Office,Handling Difficult Conversations,Soft Skills,Yes,3-Oct-22,15-Oct-22,Completed,90,36,30-Dec-22,Desktop,3,1,3,Yes,Too basic.,2,No,12,1,October
E17319,Repairs,Maintenance Technician,Wythenshawe Central,Fire Safety,Compliance,Yes,8-Jun-21,17-Jun-21,Completed,70,101,21-Jul-21,Mobile,4,1,2,Yes,Great course.,4,No,9,3,June
E17030,Finance,Finance Analyst,Civic Centre Hub,Payroll Compliance,Compliance,Yes,21-May-24,10-Jun-24,Completed,72,35,18-Jul-24,Desktop,2,1,3,Yes,Needs improvement.,1,No,20,0,June
E18904,Repairs,Electrician,Wythenshawe Central,Fire Safety,Compliance,Yes,6-May-20,20-May-20,Completed,76,87,23-May-20,Tablet,5,1,4,Yes,Too basic.,2,No,14,2,May
E17827,Housing Management,Lettings Coordinator,Northfield Office,Safeguarding Adults,Compliance,Yes,23-Dec-21,1-Jan-22,Completed,91,115,10-Feb-22,Mobile,1,1,1,Yes,Very useful.,4,No,9,1,January
E19740,Facilities,Building Services Assistant,Civic Centre Hub,Building Maintenance,Health & Safety,Yes,22-Jan-25,2-Apr-25,Completed,100,86,31-May-25,Desktop,1,1,4,Yes,Very useful.,4,No,70,-2,April
E17368,Repairs,Electrician,Trafford Branch,Fire Safety,Compliance,Yes,1-Feb-19,9-Feb-19,Completed,85,100,17-Apr-19,Mobile,2,1,2,Yes,Too basic.,2,No,8,1,February
E15028,Housing Management,Lettings Coordinator,Wythenshawe Central,Tenant Rights & Responsibilities,Organizational Onboarding,Yes,11-Aug-20,17-Aug-20,Completed,61,96,2-Nov-20,Mobile,3,1,5,Yes,Needs improvement.,1,No,6,-1,August
E18784,Facilities,Cleaner,Wythenshawe Central,Building Maintenance,Health & Safety,Yes,24-Oct-24,13-Nov-24,Completed,73,52,12-Jan-25,Mobile,2,1,3,Yes,Excellent content.,5,No,20,0,November
E17447,IT,Network Technician,Trafford Branch,Data Protection,Systems Training,Yes,28-Jan-19,2-May-19,Completed,63,96,14-Jul-19,Desktop,2,1,1,Yes,Very useful.,4,No,94,2,May
E11252,Repairs,Plumber,Northfield Office,Fire Safety,Compliance,Yes,29-Jul-24,8-Aug-24,Completed,72,67,10-Oct-24,Mobile,2,1,5,Yes,Excellent content.,5,No,10,-2,August
E14253,IT,IT Support Officer,Trafford Branch,Cybersecurity Essentials,Systems Training,Yes,25-May-23,14-Jun-23,Completed,89,84,2-Sep-23,Tablet,1,1,4,Yes,Excellent content.,5,No,20,-2,June
E11562,Repairs,Maintenance Technician,Northfield Office,Fire Safety,Compliance,Yes,17-Apr-18,24-Apr-18,Completed,99,72,16-Jul-18,Tablet,5,1,4,Yes,Great course.,4,No,7,2,April
E14958,Facilities,Cleaner,Trafford Branch,Health & Safety Basics,Health & Safety,Yes,2-Feb-22,2-Apr-22,Completed,60,40,30-Apr-22,Mobile,3,1,2,Yes,Too basic.,2,No,59,2,April
E11419,IT,Systems Analyst,Civic Centre Hub,Data Protection,Systems Training,Yes,26-Apr-18,5-Jul-18,Completed,77,65,6-Sep-18,Desktop,5,1,1,Yes,Too basic.,2,No,70,5,July
E16053,Finance,Payroll Specialist,Wythenshawe Central,GDPR Basics,Compliance,Yes,9-Aug-18,22-Aug-18,Completed,96,38,8-Nov-18,Tablet,4,1,3,Yes,Excellent content.,5,No,13,2,August
E11622,Housing Management,Housing Officer,Wythenshawe Central,Tenant Rights & Responsibilities,Organizational Onboarding,Yes,21-Mar-23,30-Mar-23,Completed,67,46,24-Jun-23,Tablet,4,1,2,Yes,Very useful.,4,No,9,3,March
E12731,Housing Management,Tenancy Support Officer,Northfield Office,Safeguarding Adults,Compliance,Yes,17-Nov-18,30-Nov-18,Completed,72,106,14-Feb-19,Mobile,2,1,1,Yes,Needs improvement.,1,No,13,2,November
E16162,Housing Management,Tenancy Support Officer,Trafford Branch,Conflict Resolution,Soft Skills,Yes,16-Mar-20,25-Mar-20,Completed,90,48,14-Apr-20,Desktop,2,1,2,Yes,Needs improvement.,1,No,9,1,March
E13091,Repairs,Plumber,Wythenshawe Central,Fire Safety,Compliance,Yes,25-Aug-24,1-Sep-24,Completed,61,65,11-Oct-24,Tablet,3,1,2,Yes,Needs improvement.,1,No,7,2,September
E12460,IT,IT Support Officer,Wythenshawe Central,System Troubleshooting,Systems Training,Yes,15-Jun-23,5-Jul-23,Completed,63,35,27-Sep-23,Desktop,4,1,3,Yes,Excellent content.,5,No,20,2,July
E19500,Facilities,Building Services Assistant,Wythenshawe Central,Building Maintenance,Health & Safety,Yes,27-Jun-21,13-Jul-21,Completed,98,56,8-Aug-21,Tablet,4,1,3,Yes,Too basic.,2,No,16,2,July
E12485,Finance,Accounts Officer,Civic Centre Hub,Payroll Compliance,Compliance,Yes,19-Aug-24,24-Aug-24,Completed,87,104,24-Aug-24,Mobile,1,1,2,Yes,Needs improvement.,1,No,5,0,August
E16074,IT,Systems Analyst,Civic Centre Hub,System Troubleshooting,Systems Training,Yes,28-Jan-19,2-Aug-19,Completed,76,67,25-Aug-19,Desktop,3,1,5,Yes,Needs improvement.,1,No,186,-1,August
E18362,Repairs,Electrician,Civic Centre Hub,Electrical Safety,Health & Safety,Yes,10-Aug-23,25-Oct-23,Completed,99,101,31-Dec-23,Desktop,5,1,4,Yes,Very useful.,4,No,76,2,October
E19985,Customer Support,Customer Service Advisor,Northfield Office,Customer Service Skills,Soft Skills,Yes,5-Jun-19,16-Jun-19,Completed,87,40,9-Aug-19,Desktop,5,1,3,Yes,Needs improvement.,1,No,11,3,June
E18563,Repairs,Electrician,Wythenshawe Central,Electrical Safety,Health & Safety,Yes,12-Oct-24,29-Oct-24,Completed,64,79,21-Nov-24,Tablet,4,1,2,Yes,Very useful.,4,No,17,3,October
E18322,Housing Management,Tenancy Support Officer,Trafford Branch,Conflict Resolution,Soft Skills,Yes,13-Oct-23,1-Nov-23,Completed,90,109,5-Jan-24,Desktop,4,1,4,Yes,Excellent content.,5,No,19,1,November
E17759,Repairs,Maintenance Technician,Civic Centre Hub,Manual Handling,Compliance,Yes,21-Oct-23,24-Oct-23,Completed,81,77,7-Jan-24,Tablet,3,1,3,Yes,Very useful.,4,No,3,1,October
E17833,IT,IT Support Officer,Wythenshawe Central,System Troubleshooting,Systems Training,Yes,15-Feb-24,29-Feb-24,Completed,96,88,18-Mar-24,Desktop,4,1,5,Yes,Too basic.,2,No,14,0,February
E13998,Housing Management,Lettings Coordinator,Wythenshawe Central,Conflict Resolution,Soft Skills,Yes,8-Oct-18,22-Oct-18,Completed,71,65,14-Jan-19,Tablet,5,1,3,Yes,Too basic.,2,No,14,3,October
E13255,Customer Support,Contact Centre Agent,Civic Centre Hub,Customer Service Skills,Soft Skills,Yes,14-Jul-23,28-Jul-23,Completed,80,99,1-Oct-23,Desktop,3,1,3,Yes,Excellent content.,5,No,14,1,July
E12178,IT,Network Technician,Civic Centre Hub,System Troubleshooting,Systems Training,Yes,11-Oct-21,23-Nov-21,Completed,91,38,1-Dec-21,Tablet,5,1,4,Yes,Needs improvement.,1,No,43,2,November
E12702,Repairs,Maintenance Technician,Civic Centre Hub,Electrical Safety,Health & Safety,Yes,4-Sep-21,14-Sep-21,Completed,82,108,29-Nov-21,Desktop,2,1,4,Yes,Great course.,4,No,10,-1,September
E18987,Customer Support,Contact Centre Agent,Wythenshawe Central,Handling Difficult Conversations,Soft Skills,Yes,18-Sep-21,27-Sep-21,Completed,91,44,23-Nov-21,Tablet,1,1,3,Yes,Very useful.,4,No,9,-1,September
E17953,IT,IT Support Officer,Trafford Branch,System Troubleshooting,Systems Training,Yes,21-Jan-19,31-Jan-19,Completed,79,117,23-Apr-19,Desktop,4,1,3,Yes,Too basic.,2,No,10,2,January
E16507,Facilities,Cleaner,Trafford Branch,Cleaning Protocols,Health & Safety,Yes,22-Apr-22,26-Apr-22,Completed,98,37,13-Jun-22,Tablet,1,1,4,Yes,Great course.,4,No,4,-2,April
E17277,Customer Support,Customer Service Advisor,Northfield Office,Handling Difficult Conversations,Soft Skills,Yes,5-Feb-23,13-May-23,Completed,84,47,5-Aug-23,Tablet,3,1,5,Yes,Too basic.,2,No,97,-1,May
E17512,Repairs,Electrician,Civic Centre Hub,Fire Safety,Compliance,Yes,12-Apr-23,12-Jul-23,Completed,95,37,15-Sep-23,Tablet,2,1,5,Yes,Very useful.,4,No,91,-2,July
E11039,Facilities,Cleaner,Wythenshawe Central,Cleaning Protocols,Health & Safety,Yes,11-Feb-23,26-Feb-23,Completed,97,104,17-Apr-23,Tablet,5,1,1,Yes,Too basic.,2,No,15,5,February
E13729,Repairs,Electrician,Civic Centre Hub,Electrical Safety,Health & Safety,Yes,19-May-22,7-Jun-22,Completed,92,98,29-Jun-22,Desktop,2,1,2,Yes,Needs improvement.,1,No,19,1,June
E11109,Facilities,Facilities Manager,Civic Centre Hub,Building Maintenance,Health & Safety,Yes,25-Oct-19,1-Nov-19,Completed,71,95,7-Nov-19,Mobile,4,1,4,Yes,Needs improvement.,1,No,7,1,November
E14245,Repairs,Maintenance Technician,Trafford Branch,Electrical Safety,Health & Safety,Yes,14-Jul-20,31-Jul-20,Completed,72,33,22-Sep-20,Mobile,5,1,3,Yes,Very useful.,4,No,17,3,July
E12073,IT,IT Support Officer,Northfield Office,System Troubleshooting,Systems Training,Yes,15-Apr-20,19-Apr-20,Completed,71,99,14-May-20,Desktop,1,1,4,Yes,Excellent content.,5,No,4,-2,April
E16470,IT,Systems Analyst,Trafford Branch,Cybersecurity Essentials,Systems Training,Yes,15-Jun-21,30-Jun-21,Completed,60,58,7-Sep-21,Mobile,5,1,4,Yes,Needs improvement.,1,No,15,2,June
E11089,Repairs,Electrician,Wythenshawe Central,Manual Handling,Compliance,Yes,27-Feb-20,3-Nov-20,Completed,69,61,20-Dec-20,Desktop,2,1,5,Yes,Very useful.,4,No,250,-2,November
E17579,Customer Support,Customer Service Advisor,Wythenshawe Central,Effective Communication,Soft Skills,Yes,22-Oct-19,31-Oct-19,Completed,84,90,4-Feb-20,Mobile,4,1,5,Yes,Needs improvement.,1,No,9,0,October
E19016,Repairs,Plumber,Wythenshawe Central,Manual Handling,Compliance,Yes,17-Oct-18,26-Oct-18,Completed,95,45,11-Nov-18,Mobile,3,1,2,Yes,Excellent content.,5,No,9,2,October
E13649,IT,Systems Analyst,Civic Centre Hub,Cybersecurity Essentials,Systems Training,Yes,1-Sep-20,4-Sep-20,Completed,75,57,20-Oct-20,Tablet,2,1,1,Yes,Excellent content.,5,No,3,2,September
E16180,Customer Support,Support Specialist,Trafford Branch,Customer Service Skills,Soft Skills,Yes,13-Jul-18,30-Jul-18,Completed,76,59,4-Aug-18,Mobile,5,1,1,Yes,Needs improvement.,1,No,17,5,July
E19222,Customer Support,Contact Centre Agent,Civic Centre Hub,Effective Communication,Soft Skills,Yes,3-Jun-18,7-Jun-18,Completed,92,66,14-Jun-18,Desktop,2,1,4,Yes,Too basic.,2,No,4,-1,June
E11363,IT,IT Support Officer,Wythenshawe Central,Data Protection,Systems Training,Yes,7-Mar-24,19-Jul-24,Completed,84,38,21-Jul-24,Mobile,2,1,5,Yes,Excellent content.,5,No,134,-2,July
E11860,Repairs,Electrician,Trafford Branch,Fire Safety,Compliance,Yes,13-Oct-24,26-Oct-24,Completed,77,111,1-Dec-24,Desktop,1,1,2,Yes,Too basic.,2,No,13,0,October
E13026,Housing Management,Housing Officer,Trafford Branch,Tenant Rights & Responsibilities,Organizational Onboarding,Yes,5-Jul-24,18-Jul-24,Completed,80,119,24-Oct-24,Desktop,5,1,1,Yes,Too basic.,2,No,13,5,July
E15638,Repairs,Plumber,Trafford Branch,Electrical Safety,Health & Safety,Yes,3-Nov-23,13-Nov-23,Completed,66,39,3-Jan-24,Tablet,4,1,4,Yes,Too basic.,2,No,10,1,November
E11368,Facilities,Building Services Assistant,Wythenshawe Central,Building Maintenance,Health & Safety,Yes,22-Dec-23,2-Jan-24,Completed,66,85,18-Feb-24,Mobile,2,1,1,Yes,Very useful.,4,No,11,2,January
E11377,Facilities,Building Services Assistant,Wythenshawe Central,Building Maintenance,Health & Safety,Yes,13-Aug-20,30-Aug-20,Completed,71,85,1-Sep-20,Desktop,2,1,2,Yes,Very useful.,4,No,17,1,August
